Symbol,Rate,Change %,Change,Day Low,Day High,Base Currency,Quote Currency,Timestamp
BDT/EUR,0.00795735,-0.85536,-0.000068651389,0.007927,0.00811076,BDT,EUR,1736425144
BDT/GBP,0.00667142,-0.93082,-0.000062682487,0.0065754,0.0067667,BDT,GBP,1736425144
BDT/JPY,1.29334,-1.55743,-0.02046154,1.27481,1.32216,BDT,JPY,1736425144
BDT/USD,0.00820054,-1.69197,-0.000141138487,0.00808308,0.0083682,BDT,USD,1736425144
BGN/AUD,0.85052,0.05391096,0.000458275303,0.84847,0.85248,BGN,AUD,1736432799
BGN/CAD,0.75917,0.08890989,0.000674377174,0.7568,0.75928,BGN,CAD,1736432799
BGN/CNY,3.86617,28.87248,0.86617,3.8573,3.86706,BGN,CNY,1736432290
BGN/DKK,3.81481,27.16047,0.81481,3.79533,3.81513,BGN,DKK,1736432282
BGN/EUR,0.51127,1.10215,0.00557358,0.5053,0.51393,BGN,EUR,1736432282
BGN/GBP,0.42864,0.65316,0.00278155,0.42549,0.43091,BGN,GBP,1736432282
BGN/USD,0.52731,0.26483,0.00139278,0.52406,0.52742,BGN,USD,1736432282
BHD/AED,9.7453,-100,,9.73597,9.76056,BHD,AED,1736432282
BHD/EUR,2.57283,0.18034,0.00463142,2.55232,2.57615,BHD,EUR,1736432282
BHD/GBP,2.15665,0.26268,0.00565016,2.1408,2.18019,BHD,GBP,1736432282
BHD/PKR,738.87,0.02436746,0.18,738.69,739.08,BHD,PKR,1736394727
BHD/USD,2.65339,0.00614227,0.00016296818,2.63239,2.65345,BHD,USD,1736432282
BIF/EUR,0.000328180893,-1.52046,-0.000005066906,0.000328180893,0.000333425581,BIF,EUR,1736425143
BIF/GBP,0.000275087788,-1.07651,-0.000002993562,0.000275087788,0.000278493351,BIF,GBP,1736425143
BIF/USD,0.000338123789,-2.18687,-0.000007559661,0.000335016747,0.000345683451,BIF,USD,1736425143
BMD/BBD,2.01392,101.39243,1.01392,1.96551,2.01392,BMD,BBD,1736425174
BMD/CAD,1.43617,-0.45937,-0.00662776,1.43275,1.4453,BMD,CAD,1736432802
BMD/EUR,0.9692,0.06194508,0.0006,0.96796,0.97305,BMD,EUR,1736432529
BMD/GBP,0.81075,0.31349,0.00253372,0.80671,0.81673,BMD,GBP,1736432785
BMD/KYD,0.83332,0.29208,0.00242692,0.8309,0.83332,BMD,KYD,1736425145
BMD/USD,1,0,0,1,1,BMD,USD,1736431210
BND/EUR,0.70977,0.0993683,0.000704589814,0.70882,0.72192,BND,EUR,1736432529
BND/GBP,0.59492,0.55922,0.00330843,0.58161,0.5962,BND,GBP,1736432529
BND/USD,0.73164,0.05121452,0.000374511997,0.72934,0.7318,BND,USD,1736432799
BOB/EUR,0.14049,-1.37679,-0.00196124,0.14049,0.14455,BOB,EUR,1736425143
BOB/GBP,0.11785,0.90095,0.00105231,0.11454,0.11785,BOB,GBP,1736425143
BOB/USD,0.14485,-0.77951,-0.00113798,0.14078,0.14599,BOB,USD,1736425143
BRL/ARS,170.0094,0.25836,0.4381,167.92278,170.0935,BRL,ARS,1736432798
BRL/AUD,0.2645,0.5092,0.00134,0.26162,0.2648,BRL,AUD,1736432793
