Ticker,Name,Market Cap From (USD),Market Cap To (USD),Absolute Change (USD),Percentage Change (%),Rank From,Rank To,Rank Change,Market Share From (%),Market Share To (%)
AEO,"American Eagle Outfitters, Inc.",2226493800.00,2226493800.00,0.00,0.00,63,63,0,0.1056,0.1056
ITX.MC,"Industria de Diseño Textil, S.A.",160359217013.71,160359217013.71,0.00,0.00,3,3,0,7.6072,7.6072
RENT,"Rent the Runway, Inc.",21689685.00,21689685.00,0.00,0.00,141,141,0,0.0010,0.0010
ZAL.DE,Zalando SE,7600305844.07,7600305844.07,0.00,0.00,37,37,0,0.3605,0.3605
KER.PA,Kering S.A.,32115189982.09,32115189982.09,0.00,0.00,13,13,0,1.5235,1.5235
UHR.SW,The Swatch Group AG,9340653867.32,9340653867.32,0.00,0.00,29,29,0,0.4431,0.4431
1929.HK,Chow Tai Fook Jewellery Group Limited,18379070532.85,18379070532.85,0.00,0.00,18,18,0,0.8719,0.8719
PPH.JO,Pepkor Holdings Limited,53797660.71,53797660.71,0.00,0.00,138,138,0,0.0026,0.0026
GAP,"The Gap, Inc.",7991095140.00,7991095140.00,0.00,0.00,35,35,0,0.3791,0.3791
FOSL,"Fossil Group, Inc.",157022533.00,157022533.00,0.00,0.00,122,122,0,0.0074,0.0074
VRA,"Vera Bradley, Inc.",57822138.00,57822138.00,0.00,0.00,135,135,0,0.0027,0.0027
ONON,On Holding AG,15184090536.00,15184090536.00,0.00,0.00,24,24,0,0.7203,0.7203
SGC,"Superior Group of Companies, Inc.",207747583.00,207747583.00,0.00,0.00,118,118,0,0.0099,0.0099
CALN.SW,CALIDA Holding AG,121467935.73,121467935.73,0.00,0.00,126,126,0,0.0058,0.0058
MKS.L,Marks and Spencer Group plc,97961460.92,97961460.92,0.00,0.00,128,128,0,0.0046,0.0046
FOI-B.ST,Fenix Outdoor International AG,714612358.09,714612358.09,0.00,0.00,93,93,0,0.0339,0.0339
SFL.MI,Safilo Group S.p.A.,716453997.68,716453997.68,0.00,0.00,92,92,0,0.0340,0.0340
REAL,"The RealReal, Inc.",2169688181.00,2169688181.00,0.00,0.00,65,65,0,0.1029,0.1029
002563.SZ,"Zhejiang Semir Garment Co., Ltd.",2081421030.81,2081421030.81,0.00,0.00,67,67,0,0.0987,0.0987
6110.HK,Topsports International Holdings Limited,2567399217.97,2567399217.97,0.00,0.00,58,58,0,0.1218,0.1218
JD.L,JD Sports Fashion plc,63986321.89,63986321.89,0.00,0.00,131,131,0,0.0030,0.0030
M,"Macy's, Inc.",3687513200.00,3687513200.00,0.00,0.00,50,50,0,0.1749,0.1749
RVRC.ST,RVRC Holding AB (publ),558276587.78,558276587.78,0.00,0.00,102,102,0,0.0265,0.0265
