Symbol,Name,Market Cap (Original),Original Currency,Market Cap (EUR),Market Cap (USD),Exchange,Price,Active,Description,Homepage URL,Employees,Revenue,Revenue (USD),Working Capital Ratio,Quick Ratio,EPS,P/E Ratio,D/E Ratio,ROE,Timestamp
FRAS.L,Frasers Group plc,2670493641,USD,2670493641,2670493641,LSE,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
BKE,"The Buckle, Inc.",2533081740,USD,2533081740,2533081740,NYSE,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
CPRI,Capri Holdings Limited,2494922854,USD,2494922854,2494922854,NYSE,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
RVLV,"Revolve Group, Inc.",2366838770,USD,2366838770,2366838770,NYSE,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
2368.HK,Eagle Nice (International) Holdings Limited,2204593995,USD,2204593995,2204593995,HKSE,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
ZGN,Ermenegildo Zegna N.V.,2072021000,USD,2072021000,2072021000,NYSE,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
FL,"Foot Locker, Inc.",2064611560,USD,2064611560,2064611560,NYSE,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
CRI,"Carter's, Inc.",1912968288,USD,1912968288,1912968288,NYSE,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
WWW,"Wolverine World Wide, Inc.",1776000000,USD,1776000000,1776000000,NYSE,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
4012.SR,Thob Al Aseel Company,1700000000,USD,1700000000,1700000000,SAU,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
SVV,"Savers Value Village, Inc.",1648774000,USD,1648774000,1648774000,NYSE,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
DLTI.TA,Delta Israel Brands Ltd,1576477025,USD,1576477025,1576477025,TLV,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
KSS,Kohl's Corporation,1558440000,USD,1558440000,1558440000,NYSE,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
GIII,"G-III Apparel Group, Ltd.",1431528700,USD,1431528700,1431528700,NASDAQ,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
WOSG.L,Watches of Switzerland Group plc,1330885816,USD,1330885816,1330885816,LSE,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
OXM,"Oxford Industries, Inc.",1236610920,USD,1236610920,1236610920,NYSE,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
REAL,"The RealReal, Inc.",1191545535,USD,1191545535,1191545535,NASDAQ,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
FIGS,"FIGS, Inc.",1053344451,USD,1053344451,1053344451,NYSE,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
GOOS,Canada Goose Holdings Inc.,970150977,USD,970150977,970150977,NYSE,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
CAL,"Caleres, Inc.",774354600,USD,774354600,774354600,NYSE,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
GES,"Guess', Inc.",714219880,USD,714219880,714219880,NYSE,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
CHS,"Chico's FAS, Inc.",631542060,USD,631542060,631542060,NYSE,0,true,,,0,0,0,0,0,0,0,0,0,1640995199
MYTE,MYT Netherlands Parent B.V.,616280184,USD,616280184,616280184,NYSE,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
CURV,Torrid Holdings Inc.,547570540,USD,547570540,547570540,NYSE,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
ASC.L,ASOS Plc,531258277,USD,531258277,531258277,LSE,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
GCO,Genesco Inc.,459006750,USD,459006750,459006750,NYSE,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
BOO.L,boohoo group plc,402777576,USD,402777576,402777576,LSE,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
VAN.BR,Van de Velde NV,383393003,USD,383393003,383393003,EURONEXT,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
0330.HK,Esprit Holdings Limited,373692000,USD,373692000,373692000,HKSE,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
WEYS,"Weyco Group, Inc.",354434450,USD,354434450,354434450,NASDAQ,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
ZUMZ,Zumiez Inc.,353935710,USD,353935710,353935710,NASDAQ,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
JILL,"J.Jill, Inc.",321047628,USD,321047628,321047628,NYSE,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
DBI,Designer Brands Inc.,278123220,USD,278123220,278123220,NYSE,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
SMCP.PA,SMCP S.A.,274754050,USD,274754050,274754050,EURONEXT,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
SGC,"Superior Group of Companies, Inc.",266257768,USD,266257768,266257768,NASDAQ,0,true,,,0,0,0,0,0,0,0,0,0,1735689599
